calendar_date,fiscal_year,fiscal_month,from_currency,to_currency,fx_rate
2024-05-31,2024,5,MXN,USD,1.3715
2024-06-30,2024,6,BRL,USD,1.3037
2024-06-30,2024,6,USD,USD,1.0
2024-06-30,2024,6,EUR,USD,0.6866
2024-06-30,2024,6,GBP,USD,1.3926
2024-06-30,2024,6,MXN,USD,1.0393
2024-07-31,2024,7,BRL,USD,1.3074
2024-07-31,2024,7,USD,USD,1.0
2024-07-31,2024,7,EUR,USD,1.3961
2024-07-31,2024,7,GBP,USD,0.818
2024-07-31,2024,7,MXN,USD,0.6101
2024-08-31,2024,8,BRL,USD,0.7279
2024-08-31,2024,8,USD,USD,1.0
2024-08-31,2024,8,EUR,USD,0.9271
2024-08-31,2024,8,GBP,USD,1.318
2024-08-31,2024,8,MXN,USD,1.3607
2024-09-30,2024,9,BRL,USD,0.507
2024-09-30,2024,9,USD,USD,1.0
2024-09-30,2024,9,EUR,USD,1.0107
2024-09-30,2024,9,GBP,USD,0.9174
2024-09-30,2024,9,MXN,USD,0.7221
2024-10-31,2024,10,BRL,USD,0.6199
2024-10-31,2024,10,USD,USD,1.0
2024-10-31,2024,10,EUR,USD,0.8376
2024-10-31,2024,10,GBP,USD,1.4429
2024-10-31,2024,10,MXN,USD,0.8232
2024-11-30,2024,11,BRL,USD,1.0188
2024-11-30,2024,11,USD,USD,1.0
2024-11-30,2024,11,EUR,USD,1.203
2024-11-30,2024,11,GBP,USD,0.8636
2024-11-30,2024,11,MXN,USD,1.4718
2024-12-31,2024,12,BRL,USD,1.4624
2024-12-31,2024,12,USD,USD,1.0
2024-12-31,2024,12,EUR,USD,0.7518
2024-12-31,2024,12,GBP,USD,0.9972
2024-12-31,2024,12,MXN,USD,0.8009
